16, 400, PA5-E-Debug-SampleReadingsTest.txt 6
  -57.27,   -42.79,    87.37
  -11.42,    -2.77,    33.67
  -52.53,    11.96,    79.66
   36.28,   -17.65,    63.57
   25.86,   -52.43,    17.15
   -4.29,    11.19,    12.56
   -6.34,   -24.63,   -78.10
   14.39,    10.28,   -40.41
   24.87,     9.60,   -99.42
   12.18,    -0.91,   -57.16
   29.06,    25.48,   -86.63
  -31.15,    21.82,   -81.36
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -32.16,   -14.62,   111.24
   13.79,    25.60,    57.57
  -27.43,    40.13,   103.70
   61.27,    10.62,    87.77
   50.97,   -24.26,    41.01
   20.83,    39.34,    36.60
   -6.99,   -24.67,   -79.23
   14.35,    10.27,   -41.74
   24.52,     9.23,  -100.65
   11.83,    -1.04,   -58.27
   28.90,    25.08,   -87.89
  -31.39,    22.14,   -82.36
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -78.85,   -53.31,   116.77
  -33.08,   -13.20,    63.03
  -74.22,     1.58,   109.20
   14.57,   -28.13,    93.16
    4.27,   -63.01,    46.58
  -26.01,     0.66,    41.92
    1.00,   -25.93,   -77.78
   22.29,     9.36,   -40.92
   32.36,     7.63,   -99.88
   19.99,    -2.14,   -57.32
   36.80,    23.75,   -87.46
  -23.42,    20.61,   -81.78
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -48.59,   -31.88,   175.89
   -2.76,     8.25,   122.07
  -43.94,    22.89,   168.08
   44.77,    -6.73,   152.26
   34.45,   -41.46,   105.61
    4.37,    22.15,   100.93
    0.24,   -24.90,   -80.61
   21.70,     9.99,   -43.45
   32.03,     8.60,  -102.35
   19.25,    -1.31,   -59.97
   36.51,    24.49,   -89.65
  -23.72,    21.82,   -84.28
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -80.03,   -35.30,   112.95
  -34.08,     4.88,    59.20
  -75.16,    19.59,   105.25
   13.45,   -10.04,    89.39
    3.15,   -44.95,    42.61
  -26.97,    18.70,    38.14
    0.63,   -23.01,   -81.09
   22.16,    11.65,   -43.60
   32.36,    10.90,  -102.52
   19.72,     0.34,   -60.27
   36.80,    26.60,   -89.74
  -23.48,    23.90,   -84.28
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -54.96,   -55.04,   114.03
   -9.03,   -14.90,    60.25
  -50.26,    -0.31,   106.43
   38.45,   -29.81,    90.26
   28.20,   -64.87,    43.67
   -2.01,    -1.20,    39.20
   -4.39,   -21.67,   -79.51
   16.93,    13.65,   -42.33
   26.92,    12.23,  -101.34
   14.52,     2.21,   -58.89
   31.38,    28.27,   -88.87
  -28.86,    25.03,   -83.05
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -41.53,   -40.37,    99.41
    4.32,    -0.24,    45.80
  -36.79,    14.43,    91.84
   51.99,   -15.12,    75.80
   41.56,   -49.95,    29.28
   11.44,    13.66,    24.59
    0.09,   -23.53,   -80.84
   21.32,    11.71,   -43.58
   31.87,    10.17,  -102.53
   18.92,     0.25,   -60.12
   36.28,    26.21,   -89.85
  -24.15,    23.36,   -84.76
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -22.57,   -34.33,    99.17
   23.27,     5.77,    45.63
